nickname,total,continuity,order
그르다김가놈,31,31,53.87096774193548
매직박재성기사이즈킹,31,31,58.645161290322584
HAERIN,31,31,90.12903225806451
행복하니,31,31,94.6774193548387
편한명상,31,31,116.61290322580645
병건매벌이,31,31,127.93548387096774
몽쉘통통의고양이,31,31,147.15625
병건마미,31,31,147.51612903225808
패는남매,31,31,180.96774193548387
개구리,31,31,210.61290322580646
이더리움,31,31,235.5483870967742
아데마르,31,31,237.3548387096774
옹골찬만두콘,31,31,239.3548387096774
위험한까마구이병건,31,31,251.67741935483872
삼각군,31,31,253.7741935483871
두다리갈매기,31,31,262.8709677419355
오호홍햄빠끄세트,31,31,268.7096774193548
곽철용,31,31,270.51612903225805
메가톤맨,31,31,277.258064516129
네글자,31,31,296.80645161290323
헬로포터,31,31,297.1290322580645
이병건방져,31,31,302.4193548387097
댕댕이,31,31,309.0967741935484
유구미,31,31,311.1290322580645
원랜디설치기사,31,31,314.06451612903226
인간사냥개,31,31,322.5806451612903
김종수령동지,31,31,328.5483870967742
이쁜둥이미운둥이,31,31,335.875
리버냥,31,31,340.9032258064516
침착한시청자,31,31,356.61290322580646
국밥부장관,31,31,357.7096774193548
귤겨울눈,31,31,362.5806451612903
위험한자식,31,31,367.0967741935484
그대인형,31,31,371.4516129032258
궤착맨,31,31,375.9032258064516
아재맨,31,31,377.53125
병건83,31,31,380.51612903225805
작은쥐,31,31,381.0
CRADLE,31,31,382.80645161290323
초고교급이하민,31,31,383.19354838709677
침덩이덕쿵덕,31,31,385.93548387096774
Patrasche,31,31,386.3225806451613
페코짱,31,31,389.16129032258067
주호민방위훈련,31,31,398.48387096774195
피죤투,31,31,401.03225806451616
코숏🐈,31,31,402.51612903225805
맵당당,31,31,404.4193548387097
바다민수,31,31,409.93548387096774
티라노사우루스,31,31,412.8709677419355
보리차,31,31,415.35483870967744
오히려,31,31,420.4193548387097
침하하오히려좋아,31,31,435.1290322580645
남현수,31,31,439.61290322580646
쿠우우,31,31,443.4193548387097
중영이,31,31,474.258064516129
이춘향,31,31,476.4516129032258
UDT출신여중생,31,31,478.0
ATOM,31,31,480.2903225806452
비건보다병건,31,31,482.2903225806452
동탁천사,31,31,487.7741935483871
장료벌레,31,31,494.8709677419355
예비특허민수,31,31,499.16129032258067
일리단,31,31,506.61290322580646
피도눈물도없는자식,31,31,514.0
칼국수,31,31,518.2258064516129
눈이예뻐슬픈동물,31,31,523.34375
아서비햄,31,31,531.7741935483871
강백호,31,31,532.0322580645161
사사림,31,31,550.0967741935484
흥분걸,31,31,554.8064516129032
나도이런말하기싫어,31,31,563.5806451612904
쭈펄곰,31,31,566.0
곧통조림행인,31,31,570.7096774193549
라프라스,31,31,574.3870967741935
쌍베S코스밥상엎는이병건,31,31,575.2258064516129
댓글민수사쿠라윤,31,31,591.7741935483871
시루요,31,31,594.8387096774194
낙스라마스의저주,31,31,595.6129032258065
코쓱모쓱,31,31,595.6774193548387
침착하지못해슬픈아이,31,31,602.741935483871
아자뵤,31,31,602.9677419354839
우리에게남은시간,31,31,607.741935483871
메이슨더트리,31,31,609.258064516129
Z3R05UM,31,31,614.9032258064516
언럭키삑궷츢,31,31,615.2903225806451
호크아이슨배임,31,31,619.4193548387096
에드몽,31,31,623.9032258064516
레희님,31,31,630.6451612903226
침냥2,31,31,637.9677419354839
당신지금어디야,31,31,641.8709677419355
펄순이,31,31,654.9677419354839
롯데우승,31,31,655.0967741935484
킹냥이,31,31,656.8387096774194
침버거세트,31,31,657.8387096774194
김카이,31,31,669.5806451612904
병건아,31,31,670.3548387096774
침침해,31,31,670.5483870967741
프엠입니다,31,31,673.1935483870968
지떨코,31,31,673.9677419354839
락바리,31,31,677.0967741935484
태하하,31,31,678.0
김치아줌마,31,31,683.258064516129
awnfaiof,31,31,684.3225806451613
에어컨의요정,31,31,686.516129032258
십장생,31,31,688.483870967742
베이가,31,31,690.3225806451613
잘알려드립니다,31,31,695.0322580645161
가밀레,31,31,698.3870967741935
라라피포,31,31,705.0645161290323
사카키,31,31,707.5483870967741
집착맨,31,31,707.5483870967741
이병건과류,31,31,713.483870967742
오아시스,31,31,715.5806451612904
sungard,31,31,721.6774193548387
애기쏘영,31,31,739.8064516129032
보르조이,31,31,740.3225806451613
FIESTA,31,31,741.8387096774194
수정고드름,31,31,741.9032258064516
도른자,31,31,744.741935483871
침순잉,31,31,752.483870967742
침펄풍철단궤,31,31,756.7741935483871
슬램덩크,31,31,757.258064516129
이왕건그는신인가,31,31,766.2903225806451
성이름,31,31,769.8387096774194
호들갑맨,31,31,771.0645161290323
황송한니보시씨,31,31,774.6451612903226
우룰루루,31,31,776.6774193548387
만두콩,31,31,777.6129032258065
우경김,31,31,780.6451612903226
라원애비,31,31,781.6774193548387
배고푸잖슴,31,31,783.84375
세종머앟,31,31,786.9677419354839
우정맹,31,31,790.0322580645161
이지동,31,31,790.5806451612904
나맹이,31,31,791.3225806451613
짱구는목말라,31,31,792.0645161290323
ABC,31,31,796.0
침착면요리후루룩,31,31,800.7741935483871
Hyunsang,31,31,805.2258064516129
宮脇咲良,31,31,809.7741935483871
BarcaFIFPro,31,31,814.516129032258
NewJeans민지,31,31,815.4516129032259
바닐라와플,31,31,818.3870967741935
디낌이,31,31,819.2903225806451
또요용,31,31,823.4516129032259
와장창,31,31,825.7741935483871
치마하하,31,31,825.9354838709677
깨쓰롸이팅,31,31,829.483870967742
아즈남,31,31,830.1612903225806
오프라인,31,31,831.9032258064516
소설가0,31,31,832.0
호호바,31,31,833.1935483870968
코코삼촌,31,31,835.6129032258065
침착한이흥건,31,31,842.6129032258065
시청자,31,31,851.258064516129
영공조진,31,31,854.7096774193549
존롤존스스톤,31,31,872.483870967742
호크아이슨배림,31,31,874.516129032258
lhxnqy,31,31,877.4516129032259
골든너겟,31,31,886.0
불만맨,31,31,888.0
콘노크,31,31,888.2258064516129
침두쭈두야나두,31,31,890.0967741935484
식칼이오,31,31,892.7096774193549
주먹왕랄부,31,31,898.1612903225806
왈가놈,31,31,904.258064516129
젓두잇,31,31,904.6774193548387
알제이,31,31,918.0645161290323
뼈치킨,31,31,918.8064516129032
몽키D두피,31,31,921.6129032258065
KIN,31,31,923.7096774193549
박성화,31,31,927.8064516129032
메로나,31,31,928.0645161290323
해나래,31,31,930.4193548387096
작은앙마,31,31,932.0967741935484
ANSWER,31,31,935.1935483870968
책마니읽으시오,31,31,948.8387096774194
포도봉봉,31,31,950.9032258064516
다람쥐곶감,31,31,953.0645161290323
와퍼세트,31,31,954.3548387096774
아마궤돈,31,31,961.1935483870968
굿데이,31,31,964.8387096774194
가지가내밥,31,31,972.516129032258
아이디,31,31,979.5483870967741
육회비빔밥,31,31,987.0322580645161
우레레레,31,31,991.8387096774194
남궁춘자,31,31,996.0
야구왕이순철,31,31,1000.7741935483871
얼첩이다,31,31,1008.9677419354839
나는야스물둘,31,31,1016.2903225806451
및갗냄,31,31,1021.3548387096774
애새끼,31,31,1023.7741935483871
너도쫄병이냐,31,31,1028.516129032258
복재성,31,31,1029.3870967741937
따착고,31,31,1035.3870967741937
무뚱뚱씨,31,31,1036.516129032258
티모시샬라메정실부인,31,31,1046.225806451613
옾마니반메훔,31,31,1049.967741935484
알아보자,31,31,1052.483870967742
먹방의황제는이병건이오,31,31,1053.9354838709678
전무님,31,31,1061.0967741935483
조깐둥이,31,31,1064.9354838709678
쭈호민,31,31,1066.1612903225807
민트초코호빵,31,31,1067.1935483870968
음흉맨,31,31,1069.6451612903227
고비노비도비,31,31,1071.1290322580646
침멍이까와이,31,31,1072.0967741935483
아파요,31,31,1073.225806451613
페퍼민트S2,31,31,1080.5483870967741
검정치마,31,31,1087.2903225806451
순살인간,31,31,1087.9032258064517
이병건강냉이사이에낀김가루,31,31,1091.3225806451612
김장하는이쑤시개,31,31,1104.6451612903227
허풍개,31,31,1107.1612903225807
계말년,31,31,1111.1290322580646
침착한주펄님,31,31,1116.9354838709678
캄다운맨,31,31,1124.9032258064517
IZONE,31,31,1130.1612903225807
요우무의유령검1,31,31,1132.2903225806451
채유리,31,31,1134.483870967742
낼르미,31,31,1135.4193548387098
ㅁㄴㅇㄹ,31,31,1138.0645161290322
토착애국맨,31,31,1139.3870967741937
이말년침착맨이병건,31,31,1140.6129032258063
모든것의신침착맨,31,31,1145.4516129032259
침벙침벙,31,31,1151.774193548387
솔솔라라솔솔미,31,31,1152.0
권은비,31,31,1155.1290322580646
아카플러시,31,31,1163.516129032258
쭈리링,31,31,1163.8387096774193
SeoTaiJi,31,31,1170.741935483871
불타는차돌짬뽕,31,31,1173.4516129032259
떡잎마을방범대,31,31,1183.8387096774193
침착해,31,31,1186.8387096774193
무적무적열매,31,31,1188.1612903225807
머머리28,31,31,1193.0967741935483
침하하수호자,31,31,1198.6451612903227
이대영,31,31,1199.483870967742
동네모르는오빠,31,31,1200.5483870967741
매곡리물주먹,31,31,1202.1290322580646
온니유,31,31,1204.967741935484
더블쿼터파운더치즈버거,31,31,1208.5483870967741
이왕건나좋아,31,31,1214.3225806451612
연부장,31,31,1218.6451612903227
먹황새,31,31,1221.0967741935483
SyrupJar,31,31,1221.2903225806451
라떼☆,31,31,1227.225806451613
나민수올시다,31,31,1232.4193548387098
로붕이,31,31,1236.5806451612902
챼형원,31,31,1246.5806451612902
염소야가라재미있다,31,31,1246.7096774193549
브로콜리바구니,31,31,1248.1290322580646
아리사랑해요,31,31,1248.1935483870968
평경장,31,31,1251.1935483870968
쨔루티,31,31,1251.516129032258
덜침착,31,31,1255.8709677419354
막깔라,31,31,1256.967741935484
그거완전과학,31,31,1260.516129032258
침티에이,31,31,1264.1290322580646
아빠아직안잔다,31,31,1269.1935483870968
라그나후크,31,31,1273.032258064516
그건아마니잘못,31,31,1274.483870967742
도도리아,31,31,1274.6774193548388
김보통,31,31,1278.6129032258063
침펄풍팬임,31,31,1278.6129032258063
병건쮸,31,31,1280.6451612903227
카이사르,31,31,1288.3225806451612
쑥도령,31,31,1288.4516129032259
플라스틱뚝배기,31,31,1288.4516129032259
침공어찌하여머리만오셨소,31,31,1288.6774193548388
잠자리양,31,31,1292.8064516129032
우리원본박물관,31,31,1295.0645161290322
침유니버스,31,31,1303.1935483870968
정예타우렌족장,31,31,1309.8709677419354
침카페옾카페,31,31,1312.225806451613
봇들의밤,31,31,1314.483870967742
이달의소녀,31,31,1316.3870967741937
가위꺾어진,31,31,1321.3870967741937
뿌끼먼,31,31,1332.258064516129
마취없이발치하는박재성,31,31,1333.1612903225807
김학건,31,31,1351.5483870967741
조세호,31,31,1353.483870967742
취준생,31,31,1365.3870967741937
킹뚜껑,31,31,1372.967741935484
회계사,31,31,1385.0
우원박,31,31,1390.3870967741937
발랄하네,31,31,1396.032258064516
통천조아,31,31,1401.774193548387
선학동꿀주먹,31,31,1402.3870967741937
다신못볼유돈노,31,31,1445.3870967741937
유사과학박사,31,31,1447.6774193548388
침핳핳,31,31,1459.516129032258
오태식,31,31,1470.0
아서스,31,31,1472.967741935484
흑화맨,31,31,1478.1290322580646
말밥당근,31,31,1482.6774193548388
우니동,31,31,1484.3870967741937
ㅃ1께츢,31,31,1485.8387096774193
Calmdownman,31,31,1487.3870967741937
침하하핫,31,31,1521.1290322580646
오만둥이,31,31,1523.5483870967741
티즐피치우롱티,31,31,1525.3225806451612
🧆검은콩🧆,31,31,1530.3225806451612
두두두다루,31,31,1535.258064516129
칵스한사발,31,31,1539.225806451613
히오수왕,31,31,1543.0
mauve,31,31,1549.4193548387098
태완씨이것좀먹어봐유,31,31,1555.774193548387
이병스냅건,31,31,1556.1290322580646
TOY,31,31,1556.516129032258
우원박잘생김,31,31,1556.967741935484
나로호,31,31,1564.774193548387
갱얼쥐,31,31,1575.516129032258
화난전구,31,31,1577.1935483870968
체육볶음,31,31,1588.774193548387
쏘영이모,31,31,1609.225806451613
처절한왼손잡이김상룡,31,31,1612.1612903225807
호방하게칭제,31,31,1619.9354838709678
SUM,31,31,1625.8064516129032
슈뢰딩거의침냥이,31,31,1628.9032258064517
부영사랑으로,31,31,1637.8064516129032
초호민,31,31,1641.1612903225807
반반통닭천사,31,31,1648.4516129032259
악몽의융합체,31,31,1650.8387096774193
아즈몽가대왕,31,31,1698.5483870967741
도토리수집가,31,31,1720.0967741935483
연어팔,31,31,1732.967741935484
유버튼,31,31,1747.258064516129
pleaseKIM,31,31,1799.1612903225807
커피콩,31,31,1835.225806451613
단호박골드피자,31,31,1839.1290322580646
오리꽥꽥,31,31,1842.5483870967741
침착맨침착맨,31,31,1845.4193548387098
할아버지,31,31,1863.8387096774193
탈퇴한회원,31,31,1904.1612903225807
김애용,31,31,1921.1612903225807
킹받는선글라스,31,31,1969.1935483870968
qOOp,31,31,2105.548387096774
목동다이옥신,31,31,2209.0967741935483
완전즐겜유저,31,31,2224.1290322580644
침펄풍철단,31,31,3037.1612903225805
