nickname,total,continuity,order,wish
개굴히,31.0,31.0,348.03225806451616,부자
머머리28,31.0,31.0,391.741935483871,부자되게 해주세요
하루도그대를사랑하지않은적,31.0,31.0,609.9032258064516,사랑
롯데우승,31.0,31.0,470.06451612903226,롯데우승
전무님,31.0,31.0,412.06451612903226,ㅁㅅㅁ
탈퇴한회원,31.0,31.0,660.3225806451613,내 소원은
연구원,31.0,31.0,322.2258064516129,승리
일리단,31.0,31.0,349.35483870967744,화이팅!
시적허용,31.0,31.0,283.35483870967744,부자
오아시스,31.0,31.0,268.61290322580646,LIVE FOREVER
보수맹구,31.0,31.0,295.64516129032256,취업 / 가족건강
육회비빔밥,31.0,31.0,493.19354838709677,ㅇㅍㄷ ㅇㅅㅎ ㅇㅃㅍㄹ ㅃㄱㅎㅈㅅㅇ
및갗냄,31.0,31.0,507.6774193548387,전굽
애굽민수주니어,31.0,31.0,262.7741935483871,사람이 되게 해주세요
병건아,31.0,31.0,507.7741935483871,건강 좀 돌려주세요
예비특허민수,31.0,31.0,146.0,변시합격
세종머앟,31.0,31.0,521.1612903225806,않이 외않되
페퍼민트S2,31.0,31.0,407.61290322580646,나는 내가 되고 싶은 내가 된다
쑥도령,31.0,31.0,793.3870967741935,침하
치뫄뫄,31.0,31.0,582.6129032258065,오늘도 무사히. 바라는 일이 이뤄지길
봉담맨,31.0,31.0,312.03225806451616,잠
상대편,31.0,31.0,338.9032258064516,배불러요
•한국인•,31.0,31.0,358.5483870967742,얏호
의중을알고싶은김의중,31.0,31.0,352.64516129032256,2023 두산 베어스 우승
박성화,31.0,31.0,316.0,행복하기!!
아즈남,31.0,31.0,491.3225806451613,로또 당첨
침하하많관부,31.0,31.0,548.5483870967741,우리 씩씩이 건강하게 잘 크게 해주세요
KIN,31.0,31.0,693.483870967742,취업하게 해주세요
굿데이,31.0,31.0,230.70967741935485,굿데이
먹방의황제는이병건이오,31.0,31.0,745.1612903225806,로또1등아 와라~
FIESTA,31.0,31.0,366.258064516129,아이즈원 재결합
야색마,31.0,31.0,514.9354838709677,무탈
댕댕이,31.0,31.0,54.58064516129032,대학 합격
잠실차돌녀,31.0,31.0,353.0,행복해져라 행복해져라~
원래이런애,31.0,31.0,629.6774193548387,합격 기원
생귤탱귤,31.0,31.0,179.8709677419355,짱이 될거에요
위험한까마구이병건,31.0,31.0,177.7741935483871,성공적인 이적 기원
휙휙♥,31.0,31.0,684.8709677419355,잘해보잣✊✊
애국침숭이,31.0,31.0,416.258064516129,행복
김치아줌마,31.0,31.0,408.61290322580646,쭈쭈상수신님 돈벼락 맞게 해주세요
아마궤돈,31.0,31.0,429.7741935483871,냥이들 무병장수
골든너겟,31.0,31.0,359.35483870967744,"풍요, 사랑, 건강"
삼각군,31.0,31.0,133.48387096774192,내코인 떡상하게 해주세요
쭈호밍쓰,31.0,31.0,371.38709677419354,탈출 기원
병건83,31.0,31.0,236.0,합격 기원
피도눈물도없는자식,31.0,31.0,105.0,화이팅
백수한량,31.0,31.0,503.5806451612903,부모님 무병장수
식칼이오,31.0,31.0,336.5483870967742,로또 1등 당첨
두다리갈매기,31.0,31.0,478.7096774193548,강철멘탈 부탁합니다
ABC,31.0,31.0,456.48387096774195,봄
침착맨이오,31.0,31.0,586.4516129032259,뉴진스 화이팅!
宮脇咲良,31.0,31.0,466.741935483871,파엠 인게이지 좀 제발 해줘 방장!!!!!!! 
치마하하,31.0,31.0,400.258064516129,무사퇴직기원
사사림,31.0,31.0,328.16129032258067,나이스
만두콩,31.0,31.0,238.93548387096774,다시 만나게 해줘잉
침버거세트,31.0,31.0,245.16129032258064,저만 잘 되게 해주세요~
침하하오히려좋아,31.0,31.0,272.06451612903226,배도라운지 생기게 해주세요.
작은쥐,31.0,31.0,335.8709677419355,원하는거 다 이루기
구찌가천마넌,31.0,31.0,606.8064516129032,연애 기원!
침냥2,31.0,31.0,157.16129032258064,방장 팬미팅 당첨까지 정권찌르기 1일차
펄순이,31.0,31.0,303.35483870967744,빡치는 일 없게 해 주세요
얼첩이다,31.0,31.0,445.7096774193548,행복하게 해주세요
병거니,31.0,31.0,230.48387096774192,다욧 성공😆
큐성성,31.0,31.0,265.6774193548387,건강!
갈치갈치,31.0,31.0,145.5483870967742,로또 연금복권 1등 당첨
silverlake,31.0,31.0,312.35483870967744,추위 조심
침착해지기,31.0,31.0,806.483870967742,살 많이 빠지게 해주세요!! 54키로 되게 해주세요
모도리,31.0,31.0,389.35483870967744,"우리 엄마, 조직 검사 결과 암이 아니게 해주세요."
현실을살아,31.0,31.0,182.58064516129033,웃음 많아지게 해주세요
갈매기,31.0,31.0,605.483870967742,🤞
락바리,31.0,31.0,138.19354838709677,기침 낫자
성모학개론,31.0,31.0,116.35483870967742,연애하게 해주세요
애기쏘영,31.0,31.0,481.3225806451613,공복 유산소!
우리에게남은시간,31.0,31.0,141.61290322580646,건강합시다
침냥E,31.0,31.0,352.1290322580645,청약당첨되게해주세요
주호민방위훈련,31.0,31.0,202.09677419354838,내성발톱 얼른 낫게해주세요 ㅠㅠ
붕어사자코,31.0,31.0,200.8709677419355,부귀영화
정우영,31.0,31.0,272.93548387096774,럭키
달변가,31.0,31.0,283.5483870967742,부유한 삶
단풍민수,31.0,31.0,347.2903225806452,유씨버클리 합격 제발
모든것의신,31.0,31.0,283.38709677419354,이병건의 모발건강
Hibyeday,31.0,31.0,500.4193548387097,화이팅
궤착맨,31.0,31.0,259.8709677419355,궤도님 행복하세요
이병건나라이웃나라,31.0,31.0,166.32258064516128,공무원합격
Chiral,31.0,31.0,118.09677419354838,잘 되게 해주세요… 꼭이요
내일은챰피온,31.0,31.0,178.19354838709677,로또 1등 가즈아
목동다이옥신,31.0,31.0,911.3548387096774,30대 모쏠아다 탈출기원
병건매벌이,31.0,31.0,149.19354838709677,합격!
페코짱,31.0,31.0,62.516129032258064,이번 주 로또 고액 당첨되게 해주세요.
패는남매,31.0,31.0,145.48387096774192,어제보다 행복해지게 해주세요.
우룰루루,31.0,31.0,415.3225806451613,첵첵
이병건윱뽀이,31.0,31.0,93.06451612903226,🔥
황송한니보시씨,31.0,31.0,349.3225806451613,황송합니다.
집에못가는사람,31.0,31.0,208.19354838709677,집에 가고 싶다
chocobanana,31.0,31.0,288.5483870967742,하하핫.
이쁜둥이미운둥이,31.0,31.0,105.90322580645162,돈 많이 벌게 해줘잉
요우무의유령검1,31.0,31.0,291.96774193548384,여기있는 소원들 전부 이루어지게 해주세요
그르다김가놈,31.0,31.0,14.161290322580646,출석!
awnfaiof,31.0,31.0,388.16129032258067,점점
몽쉘통통의고양이,31.0,31.0,31.70967741935484,행복한 주말
병건마미,31.0,31.0,53.0,취뽀취뽀
즐거운무의식,31.0,31.0,558.3548387096774,연락 오게 해주세요
매직박재성기사이즈킹,31.0,31.0,27.903225806451612,여자친구 생성 기원 28일차
옹골찬만두콘,31.0,31.0,44.25806451612903,침착맨 화이팅
HAERIN,31.0,31.0,3.935483870967742,"2023 아버지 경기도 무형 문화재,대한민국 명장 선정"
매곡리물주먹,31.0,31.0,296.96774193548384,로또
강동구물주먹,31.0,31.0,181.93548387096774,대기업 취뽀
